"gender","age","counts_pictures","counts_profileVisits","counts_kisses","flirtInterests_chat","flirtInterests_friends","flirtInterests_date","connectedToFacebook","isVIP","isVerified","lang_count","lang_fr","lang_en","lang_de","lang_it","lang_es","lang_pt","countDetails","freshman","hasBirthday","highlighted"
FALSE,22,3,54332,1196,"true","true","false","false","false","true",0,"false","false","false","false","false","false",0.810000002384186,"false","false","false"
FALSE,20,28,33528,3679,"false","true","false","false","false","true",5,"false","true","true","false","true","false",0.850000023841858,"false","false","false"
FALSE,22,11,6495,292,"true","false","false","false","false","false",4,"true","true","true","true","false","false",0.620000004768372,"false","false","false"
FALSE,23,30,11989,272,"true","false","true","false","true","false",1,"false","false","true","false","false","false",1,"false","false","false"
FALSE,20,13,2844,35,"true","false","true","false","false","false",2,"false","false","true","true","false","false",0.810000002384186,"false","false","false"
FALSE,20,1,27174,1306,"true","false","false","false","false","true",0,"false","false","false","false","false","false",0.349999994039536,"false","false","false"
FALSE,25,11,4709,203,"true","true","true","false","false","false",1,"false","false","true","false","false","false",0.810000002384186,"false","false","false"
FALSE,21,21,20642,530,"true","false","false","false","false","false",3,"false","true","true","false","true","false",0.850000023841858,"false","false","false"
FALSE,23,7,18216,301,"true","true","true","false","false","false",1,"false","false","true","false","false","false",0.879999995231628,"false","false","false"
FALSE,19,7,9078,335,"true","false","false","false","true","true",1,"false","false","true","false","false","false",0.689999997615814,"false","false","false"
FALSE,21,3,18187,772,"false","false","true","false","false","true",1,"false","false","true","false","false","false",0.959999978542328,"false","false","false"
FALSE,24,6,17115,610,"true","false","true","false","false","true",4,"true","true","true","true","false","false",0.850000023841858,"false","false","false"
FALSE,20,14,51560,6155,"true","false","false","false","false","true",1,"false","false","true","false","false","false",0.9200000166893,"false","false","false"
FALSE,23,20,23177,1194,"false","false","true","false","false","true",1,"false","false","true","false","false","false",1,"false","false","false"
FALSE,23,1,52,0,"true","false","true","false","false","false",1,"false","false","true","false","false","false",0.540000021457672,"false","false","false"
FALSE,20,13,4829,348,"false","false","true","false","false","false",1,"false","false","true","false","false","false",1,"false","false","false"
FALSE,20,4,31435,1978,"true","true","true","false","false","false",2,"false","false","true","true","false","false",0.419999986886978,"false","false","false"
FALSE,24,27,28159,638,"true","true","false","false","false","false",1,"false","false","true","false","false","false",0.769999980926514,"false","false","false"
FALSE,22,11,5550,450,"false","true","false","false","false","false",1,"false","false","true","false","false","false",1,"false","false","false"
FALSE,19,8,1255,52,"true","true","false","false","false","false",1,"false","false","true","false","false","false",0.5,"false","false","false"
FALSE,23,4,5177,467,"true","true","true","false","false","true",2,"false","true","true","false","false","false",0.959999978542328,"false","false","false"
FALSE,26,11,25845,1898,"true","true","true","false","false","false",5,"false","true","true","false","false","false",0.730000019073486,"false","false","false"
FALSE,25,7,8143,317,"false","false","true","false","false","true",2,"false","false","true","false","false","false",0.959999978542328,"false","false","false"
FALSE,24,10,10861,593,"true","false","false","false","false","false",1,"false","false","true","false","false","false",1,"false","false","false"
FALSE,21,21,52465,3739,"true","false","true","false","false","false",1,"false","false","true","false","false","false",0.270000010728836,"false","false","false"
FALSE,24,4,1076,20,"true","true","true","false","false","false",1,"false","false","true","false","false","false",0.850000023841858,"false","false","false"
FALSE,22,8,19690,551,"true","false","true","false","false","true",1,"false","false","true","false","false","false",0.730000019073486,"false","false","false"
FALSE,20,19,28293,1027,"false","false","false","false","false","false",2,"false","false","true","false","false","false",0.5,"false","false","false"
FALSE,24,17,43796,2750,"true","true","true","false","false","true",1,"false","false","true","false","false","false",0,"false","false","false"
FALSE,19,7,5101,158,"true","false","false","false","false","false",2,"true","false","true","false","false","false",1,"false","false","true"
FALSE,20,4,9850,241,"true","false","false","false","false","true",1,"false","false","true","false","false","false",0.349999994039536,"false","false","false"
FALSE,19,4,21224,316,"true","false","false","false","false","true",3,"false","true","true","false","false","false",0.230000004172325,"false","false","false"
FALSE,19,9,4335,355,"true","false","false","false","false","false",1,"false","false","true","false","false","false",0.5,"false","false","false"
FALSE,19,4,12754,644,"true","false","false","false","false","false",1,"false","false","true","false","false","false",0.649999976158142,"false","false","false"
FALSE,26,4,3441,88,"false","false","true","false","false","false",1,"false","false","true","false","false","false",0.850000023841858,"false","false","false"
FALSE,19,10,18731,644,"true","false","false","false","false","true",1,"false","false","true","false","false","false",0.419999986886978,"false","false","false"
FALSE,21,16,5450,298,"true","false","false","false","false","true",9,"true","true","true","true","true","true",0.850000023841858,"false","false","false"
FALSE,19,1,29903,2146,"true","true","false","false","false","false",3,"true","false","true","false","false","false",0.150000005960464,"false","false","false"
FALSE,24,11,14526,1116,"false","false","true","false","false","true",1,"false","false","true","false","false","false",1,"false","false","false"
FALSE,24,15,3769,276,"true","true","false","false","false","false",1,"false","false","true","false","false","false",0.879999995231628,"false","false","false"
FALSE,20,6,7662,189,"true","false","false","false","false","false",1,"false","false","true","false","false","false",0.769999980926514,"false","false","false"
FALSE,19,6,7571,396,"false","false","true","false","false","false",1,"false","false","true","false","false","false",0.730000019073486,"false","false","false"
FALSE,19,13,7842,142,"true","true","false","false","false","false",2,"false","false","true","false","false","false",0.769999980926514,"false","false","false"
FALSE,23,4,3959,188,"true","false","false","false","false","true",1,"false","false","true","false","false","false",0.810000002384186,"false","false","false"
FALSE,23,1,1797,40,"false","false","true","false","false","true",1,"false","false","true","false","false","false",0.879999995231628,"false","false","false"
FALSE,20,6,30847,1861,"true","false","false","false","false","false",1,"false","false","true","false","false","false",1,"false","false","false"
FALSE,23,2,12671,338,"true","false","true","false","false","false",1,"false","false","true","false","false","false",0.150000005960464,"false","false","false"
FALSE,20,11,7465,247,"true","true","false","false","false","false",1,"false","false","true","false","false","false",0.810000002384186,"false","false","false"
FALSE,20,12,23168,520,"true","false","false","false","false","true",1,"false","false","true","false","false","false",0.46000000834465,"false","false","false"
